2013/05/14,秋末,https://54.248.244.155/schools/osaka/students,ソート機能（学番、氏名各表記）,ソート機能 （学生管理）
2013/05/14,秋末,https://54.248.244.155/schools/osaka/students,個人情報保護のため電話番号は一覧に見えないようにする,電話番号の表示（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2181,項目名：外国人登録証番号→在留カード番号,項目名変更（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2181,項目名：就学VISA開始日→留学ビザ開始日,項目名変更（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2181#contact,種類：住所→現住所と旧住所,メモの種類（学生管理）
2013/05/14,秋末,https://54.248.244.155/master_menu/countries/4/edit,証明書反映のため国名の英語表記必要,国の英語表記（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2880,（※できれば）別に正字表記（在留カード記載と同一の日本の漢字）の項目も欲しい,項目追加（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2880#note,（※できれば）出生地、本国居住地、最終学歴は基本情報に項目があったほうが使いやすい,項目追加（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2887,学生個別情報から一覧（遷移前の検索結果）に戻るボタンが欲しい,検索機能（学生管理）
2013/05/14,秋末,https://54.248.244.155/export/students/form,ワンクリックで全クラス選択または未指定で全クラス抽出,検索機能（学生管理）
2013/05/14,秋末,https://54.248.244.155/export/students/form,（※できれば）学籍番号、入学年月日範囲指定,検索機能（学生管理）
2013/05/14,秋末,https://54.248.244.155/export/students/form,学籍番号は必須として選択不可、またはデフォルトで選択にする,画面遷移（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2887#attendance,年月のみ（日はなし）で期間指定、できればプルダウンで,検索機能（学生管理）
2013/05/14,秋末,https://54.248.244.155/students/2887#attendance,（※できれば）将来の数字を仮入力して仮想出席率表示後、元に戻す機能,出席率の計算（学生管理）
2013/05/17,松本,https://54.248.244.155/people/1524/receptions/new,希望コースに「サマープログラム」「短長」を追加してほしい。other courseのスペルミス。,コース追加（受付）
2013/05/17,松本,https://54.248.244.155/people,受付者別で検索できるようにしてほしい。,検索機能（受付）
2013/05/17,松本,https://54.248.244.155/people/short_enrollment/2013/7,レベルチェックの日にちを見やすくしてほしい。,表示の変更（受付）
2013/05/17,松本,https://54.248.244.155/people/4116/receptions/4404/edit,希望コースを年度まで選択できるようにしたほうがいい。希望コースから学生を検索できるようになる。,希望コース追加（受付）
2013/05/17,松本,https://54.248.244.155/people/4116/receptions/4404/edit,媒体：自分でも入力できるようにしたほうがいい。「関西シーン」を削除してもいいと思う。,媒体の表示（受付）
2013/05/20,松本,https://54.248.244.155/people/4116/invoices/1715/export_invoice_pdf.pdf?utf8=%E2%9u%93&invoice[invoice_type]=interior_osaka&commit=pdf%E5%87%BA%E5%8A%9B,Ｊｒがでました。,エラー画面
2013/05/20,松本,短期コースのエクセルファイル,入金の欄が反映されていない。国籍が「name」になっている。,tsvファイルのエラー（受付）
2013/05/20,鵜飼,,「備考」キーワード検索。,検索機能（受付）
